name,user,stars,review
Springwater Provincial Park,Serena Dayman,5,A treasure.  Buy a Provincial Park Pass at your favourite park.  That money gives you parking at ALL provincial parks in Ontario. Some money goes towards maintenance of the park you purchased at.
Springwater Provincial Park,Sean Kaplinski,5,"This place truly is a hidden gem.  Just outside of Barrie, it's a wonderful place to take in the outdoors while walking on several kilometers of trails.  Take the kids, go with a loved one, bring the dogs, bring a picnic lunch ...

There ..."
Springwater Provincial Park,Melissa Bernier,5,"Beautiful park, thank you for having us. We cannot wait to come back and explore more and share it with our children. I used to go to Springwater park with my parents all the time when we were little for cross country skiing, picnics and to enjoy nature. I am glad that it remains open."
Springwater Provincial Park,1Kristy7,5,Big beautiful park with pavilions. Very clean facility with a lot of parking. Nice location to take kids or have a family picnic/bbq. Lots of trails to walk/bike. I’ve heard it has a nice playground too for children (but I did t look for it).
Springwater Provincial Park,Simcoe County Roamer,5,Gorgeous spot for hiking. You can park at entrance. Trails are well marked.
Springwater Provincial Park,Rochelle r,4,I have been here a number of times now and it's a nice place to walk around and spend some time outdoors although it does need some work it is still beautiful
Springwater Provincial Park,Yuliy Ruzin,5,Beautiful and clean park and trails but parking is expensive $11.25 per day
Springwater Provincial Park,James Fletcher,3,nice space for a little nature walk easy walks and kid friendly
Springwater Provincial Park,Mark Tobin,5,Most excellent that our First Nations People have availed us of this beautiful property.
Springwater Provincial Park,Joshua Kubinec,4,This is a great place for a walk in the woods.
Springwater Provincial Park,Mitch Dellandrea,5,"Great trails for cross-country skiing and snowshoeing. Everything was very well-marked. Only $3 for a 2-hour parking pass, which was all we needed."
Springwater Provincial Park,Marlene Hall,5,Beautiful place.
Springwater Provincial Park,Eric crow,3,Being a wanderer I've traveled across Canada from coast to coast and have visited many provincial and national parks like Writing on Stone provincial park and Cypress Hills Interprovincial Park. I'm sad to say that Springwater Provincial ...
Springwater Provincial Park,Geoffrey Taylor,4,Good spot for birdwatching and relaxing. Facilities were clean. It is good this park is open again .$6.50 for a 4 hour pass very reasonable. We were entertained by many cedar waxwings swooping for insects over the pond. 
Springwater Provincial Park,Jason Cruickshank,5,Park was very clean. Would defiately go back again.
Springwater Provincial Park,Laura Pullman,5,Went to a pow wow here last summer and the park is absolutely beautiful. Clean restrooms and great beach area. Dogs allowed on leash with waste pick-up.
Springwater Provincial Park,Staffan Ridaeus,4,Nice and peaceful place 👍
Springwater Provincial Park,Ben Vanarragon,5,Great for get togethers and kids
Springwater Provincial Park,Ashley D,3,"I was very disappointed to see you have to pay to park. I went to pay the $3 rate for 2 hours with credit card, but it wouldn't accept it. We ended up parking along the side of the driveway and just walked from there. Walked the ..."
Springwater Provincial Park,Beverley Hostyn,5,Found out you can pay for a2 hour pass so very happy as that is plenty of time for us to enjoy this beautiful place. We can then go more often.
Springwater Provincial Park,Jennifer Howard,5,Beautiful park. Peaceful. Staff so friendly and healpful. A great experience.
Springwater Provincial Park,Liisa Jay,4,Lovely walk but the trails are a bit mucky in places. A bit disappointed that you pay to get into the park but the bathrooms were not open.
