name,user,stars,review
Sturgeon Bay Provincial Park,gonzozen55,3,"This is a great Provincial Park for camping, but not having actual Comfort stations is a real minus for this park. They charged enough for the sites that they should be able to spend some money and make this even better. This is a very ..."
Sturgeon Bay Provincial Park,Barb Gudgeon,5,"Gorgeous small park.  Lovely scenery.  I was here as a child, 58 years ago.  It sure has changed...but then again  so have I."
Sturgeon Bay Provincial Park,Paul Dalton,5,"Lovely, quiet park. The lack of comfort station is made up by the friendliness of the park wardens. Love going back there time after time."
Sturgeon Bay Provincial Park,Adam Werstine,5,"Best Provincial Park in Ontario. Friendly staff, close access to the water from campsites, clean, and the fishing is great."
Sturgeon Bay Provincial Park,Marjorie Hurst,2,This park is good id you have a tent or small camper ... We have a large trailer and it was very difficult to manoever to water fill up and dumping -- you cannot pass on the roads at all and there are a lot of large tree branches over ...
Sturgeon Bay Provincial Park,uJennifer Reid,2,Not my favorite campground at all. The beach is to small for the qty of people that camp there. They only have outhouses. There is only 2 showers for the whole park and you have to actually drive there. No hiking trails at all in the ...
Sturgeon Bay Provincial Park,Sean Smith,5,"Great Park! Perfect for boaters and anglers, staff are awesome people! Beware of ""stealth yogi"", he lurks around every corner in search of rule breakers!"
Sturgeon Bay Provincial Park,Tanya Borojevic,4,"I had a semi-relaxing weekend. The first night when we arrived there were a bunch of teenagers that were a bit loud but i guess that's expected to some degree. Other than that it was nice.

The park is small but plenty to explore if you ..."
Sturgeon Bay Provincial Park,Shashidhar Murthy,5,"Got a campsite near the lake and it was great! The beach is nice, too."
Sturgeon Bay Provincial Park,Nekoo H,5,"Small park but very nice and well kept. On a long weekend, washrooms were clean and the sandy beach wasn’t that busy although all campgrounds were occupied."
Sturgeon Bay Provincial Park,amy crawford,4,"Love the beach, the paddling was fantastic! They were having trouble with their water,  not sure why. Only reason I rate it a 4."
Sturgeon Bay Provincial Park,mmatttt,4,Great campground! Don't plan to shower. Only 2 for all of camp site.
Sturgeon Bay Provincial Park,BILL Clayton,5,One of the best Provincial Parks in Ontario. Small but fishing is incredibly good.
Sturgeon Bay Provincial Park,Ej Castro,3,Good place to chill and fish. Wash room needs to be upgraded and cleaned more frequently. Add more showers.
Sturgeon Bay Provincial Park,duncan pollock,4,No showers in the campground. Limited privacy and small park. There is a decent beach and boat launch.
Sturgeon Bay Provincial Park,Debra O'Rourke,4,Nice relaxing park! Nice sandy beach area
Sturgeon Bay Provincial Park,Connor Rieger,5,Amazing views and Great Lakes. If you have boat you can travel to hundreds of lake from sturgeon bay.
Sturgeon Bay Provincial Park,Omid Beik,2,"Although I didn't mind the park being small and having limited privacy, but we did not have a good experience with the staff and security personnel. The office staff seemed to be inexperienced and the security was rude and offensive. At ..."
