name,user,stars,review
Turkey Point Provincial Park,Justin Majik,3,Spent a weekend here in 2018. It's a nice park but has a touristy feel to it. It's definitely a park where people go to party as it's so close to the main strip. I'd stay here again for a quick weekend but nothing more as we like the up north experience.
Turkey Point Provincial Park,Andrew Kim,3,"The campsite was very spacious, well maintained and moderately private. We were able to see many fireflies at night. Other than the beach which was quite distant outside the park, I didn’t find many attractions or activities within the ..."
Turkey Point Provincial Park,Mathew Daniels,4,Beautiful park with large sites. Close to a big beach on Lake Erie and wonderful winery's. There are local produce growers and during the summer there is a plethora of fresh things to eat.
Turkey Point Provincial Park,John Bakker,4,"Turkey Point Provincial Park and village are quaint and small village stretched along the Ontario north shore of Lake Erie one and a half hours west of Hamilton.
Great soft sandy beach, a number of restaurants and eateries and boat ..."
Turkey Point Provincial Park,Jonathan Lees,4,"Turkey Point is a really fun provincial park.  The sites were well maintained and the amenities were very good.

The beach was a bit of a distance from the park itself, and you had to go into town to get to it... which, if you're ..."
Turkey Point Provincial Park,Brian Kimbel,5,"Great place to mountain bike. Good variety of trails. Well marked, maps in the park. Some hills, some flats."
Turkey Point Provincial Park,Anti Fictionist,5,"Great hiking spot. Different types of forest and terrain, easy to extreme well marked trails."
Turkey Point Provincial Park,Keith Pritchard,4,"Another fantastic Provincial Park. 
Well maintained and kept clean. 
A Friendly staff that was very accommodating.
The park however has exclusively sold Pepsi Products for years. A change would be nice. I would also like to see better equipped stores throughout the Parks Province wide."
Turkey Point Provincial Park,robert dietrich,5,"This is a beautifull park with beaches, camping, entertainment and sandbar on the beach for good eats.
The water gets organic in high heat periods, but it's clean.
Right on the inner longpoint bay, makes it great for boating.
Highly recommend trying this one."
Turkey Point Provincial Park,Sonya Richmond,5,A great park and wonderful forest to stroll around in
Turkey Point Provincial Park,Nathan Arsenault,5,Great beach... shallow waters... good place to go not much shade
Turkey Point Provincial Park,Linda Clemow,2,Was disappointed when we found out the park wasn't on Lake Erie. No beach without a car. The comfort stations are lacking in cleanliness and need updating. I refused to use the showers. The sites were just okay. Lots of ants in the area.
Turkey Point Provincial Park,Amanda Manship-Knight,3,"Park was incredibly loud until 2:30 or 3 am both nights we stayed--sleep was impossible. Additionally, the other family we camped with had a site much smaller and much less private than ours but was only $10 less - a larger price difference would have been more realistic for the lack of quality comparison."
Turkey Point Provincial Park,Shannon Best,5,Such a beautiful place to take your kids. Not overly crowded like most parks and visitors take care in cleaning up. Keeping it beautiful
Turkey Point Provincial Park,Elnaz Moein,5,"It is very nice cottage country, love the scenery and all the beautiful cottages there. But this place is only good if you are going to be at a cottage or camping ground close to the beach otherwise I wouldn't really recommend it because ..."
Turkey Point Provincial Park,Peter Maljaars,5,Love the easy access to the beach.  Lots of parking
Turkey Point Provincial Park,M Hammoude,4,Nice park on the lake with lots of activities for all ages
Turkey Point Provincial Park,murtaza patanwala,4,Great spot for one day picnics... The beach is Rocky but clean. Amazing view of the sunset!!
Turkey Point Provincial Park,Mike Clarke,5,Beach here sucks and be careful there is a rip tide. Turkey Point hotel across the street has a great restaurant highly recommended but if you're looking for a good beach I recommend Port Dover over Turkey Point
Turkey Point Provincial Park,christine scott,5,"We came here 19 years ago for our honeymoon with our kids and loved it. We decided a couple days ago to sneak away and Turkey Point Provincial park had the perfect spot. Nice amount of privacy, great campfire and everyone out strolling ..."
Turkey Point Provincial Park,barb miller,3,"Like this park only for its proximity to the beach.sites are very open with no privacy.too much noise and allround sillyness.by younger patrons.should be patrolled better. I'm not a prude but when I camp, I like to enjoy where I am."
Turkey Point Provincial Park,Holly Ferguson,5,"Park is always clean. The beach is great. Much better than dover.  Have been camping here for 24 years. The staff is always friendly. Sometimes on the weekends it can be a little noisey, but nothing out of hand. The beach can sometimes ..."
Turkey Point Provincial Park,Zach Shaw,4,"Nice campground.  Wish the beach was closer to the campground though, it's beautiful.  Also, playground didn't really have much for toddlers.  Small other complaint, there really weren't any clearings close by to watch the stars."
Turkey Point Provincial Park,Austin Hung,4,"Washroomsamong the cleanest seen at a provincial park. Group campsite was good. Nearby beach was not walking distance, and the vehicle lineup to get through the single entry point was very long at peak hours."
