name,user,stars,review
Voyageur Provincial Park,Kelly Fraser,5,"It is absolutely gorgeous here! You can't go wrong to go for a a few days or a few hours. It is well kept, the beaches are always clean and beautiful! The campgrounds are all quite large with a lot of privacy. The bathrooms are always ..."
Voyageur Provincial Park,Tanya Froome,5,"Our favorite provincial park! Lots of trees and shaded/secluded sites, as well as large. Staff are great. Comfort stations always clean. We go at least once every season."
Voyageur Provincial Park,Enoch T,4,"Nice open area. Lots of space, and not much light pollution. Good for camping, stargazing, retreats and weekend getaways. Toilets are acceptable and they're cleaned every day. Only downside is water doesnt taste that good. Great place overall."
Voyageur Provincial Park,Francois Malette,5,"Great little park that is close to Ottawa. Awesome place for a quick getaway to the outdoors when time is short, or when you just want to get away from it all. Everything is available in the nearby town of Hawkesbury."
Voyageur Provincial Park,Gary Hebb,4,"It seems like a beautiful, park with campsites widely spaced in beautiful forest. However, we tried to stop in for lunch after searching google maps for a picnic park. It is very accessible from the highway, so we tried it. It didn't ..."
Voyageur Provincial Park,Holly L,4,All really great sites. The parks website is helpful and easy... After registration. Too bad parks Ontario charge reservation fees.
Voyageur Provincial Park,Theo Sakoutis,5,"Less than an hour drive from Montreal, it's the first exit just passed the Ontario border as you're heading towards Ottawa. Entry fee is only $14.50 per vehicle. Nice camping ground, but we go there for the beaches.  There are several ..."
Voyageur Provincial Park,Arash Ghorayshi,5,"We go to this campgrounds at least once or twice a year. It is a great campground, many of the camp sites in the Iroquois site are close to the water. The camp sites are clean, firewood is reasonably priced and the camp store has many of ..."
Voyageur Provincial Park,Matt Tyers,5,"Absolutely great provincial park for the family. Well set up with very accommodating staff.  Have stayed several times and am always impressed. Plus, gas fired clothes dryers."
Voyageur Provincial Park,Diane Tyler,2,"Older lovely campsites private and huge space.BUT only washroom 1-2 km from sites. Could not find vault toilets marked on map. Have camped for 48 years, so this was odd!!!! Have not been to this park before."
Voyageur Provincial Park,Denis P,3,"Quasi a wild camping. Dry WCs. Small beach on Lake. Water points are on sites. Was on 504-510 sites. You can buy woods and ice near the beach. The night, the sky is wonderful and you can have visitors (raccoons)."
Voyageur Provincial Park,Serjik Sayad,5,"What a lovely park, came here for the beach on this sunny day. We weren't the only ones having had that idea, yet, it wasn't that busy. A lot of families came and cooked BBQ, while the kids played on the beach. I also saw that there's camp grounds here."
Voyageur Provincial Park,Charles Tawa,4,Nice place to visit. Great forward a day walk (entrance fee is $14.50). Nice looking beach & picnic area. Camping is also possible (even with a trailer).
Voyageur Provincial Park,Aran Kumar,3,The place is nice clean and good looking. But I didn't like the boat drop ramps. It's not good even for small baats. But the place is nice for camping and all. Have to be safe on the night time low lights someasy to get lost but recommend for everyone with one a big boats.
Voyageur Provincial Park,Daniel Wal,4,Great park for camping. Close to Ottawa and Montreal. Very clean. Friendly staff. Nice beach for swiming or throwing around a frisbee.
Voyageur Provincial Park,Pappa Bear,5,"Close to Montreal, a classic park to enjoy camping or just a nice day out picnicking"
Voyageur Provincial Park,Victor H.B.,5,Great campsite with clean bathrooms. Helpful gate staff.
Voyageur Provincial Park,Sulanis,4,It was a great place to camp. Clean and nice size lots.
Voyageur Provincial Park,Felix Warmuth,1,"Worst camping ever! Restrooms more then crowded and very far from most camping spaces. Dirty and full of insects. Shower temperature not controllable but for free (1 star). Very strict rules against destroying plants and animals. 
On our ..."
Voyageur Provincial Park,Nick Taylor,4,Always enjoy camping at Voyageur Provincial Park. Camp sites are very private. Great kayaking. Wish there were more trails. Could do with better waste separation. A nature centre would be a bonus. Discovery activity book well used on Coureur de Bois trail.
Voyageur Provincial Park,Jason DeRive,5,One one the biggest and most beautiful provincial park. 3+ beaches. Boating onsite restaurant. And lots of wildlife. Beautiful
Voyageur Provincial Park,Tanveer Naseer,5,"Great provincial park to visit to hang out at the beach, go for a hike in the woods, and just enjoy the beauty of Canada. Very family friendly place to go enjoy summertime."
Voyageur Provincial Park,Seyed Sadr,5,If you want to go anywhere near Montreal and enjoy yourself for a weekend this part would be one of the suggestions
Voyageur Provincial Park,Dirk Mittler,5,"This is a good place for an idyllic picnic. Rustic washrooms, basic refreshment store."
Voyageur Provincial Park,Neva Bentley,5,"Really clean bathroom and showers! Good place to camp if you're just passing through, not sure that there's much more to this park besides the campground."
Voyageur Provincial Park,Iaroslav Aleksyuk,5,Very nice camping with some beaches. Large selection of camp sites. Onsite store is great.
