name,user,stars,review
Wasaga Beach Provincial Park,Damaris Cuevas,5,"Loveeeee this beach 🌴During the summer, the ambiance is fantastic nice tropical music playing outside the store's and restaurants.Also, the fireworks during special events are awesome.The beach itself is clean, not too deep for the kids …"
Wasaga Beach Provincial Park,Tracy Williams,4,Great beach. Get there early to get good parking and a good spot on the beach. Lots to do for the kids:there's a bouncy castle and other little rides. Live bands are common for Saturday during the day and police do patrol often to …
Wasaga Beach Provincial Park,Trevor Bradshaw,5,Amazing beach with lots of bars and stores along the strip. Well worth the trip.
Wasaga Beach Provincial Park,Thomas Thomas Aro,4,"Clear water beach with great sand, not rocky.   One of the few beaches in Ontario that I am comfortable not wearing water shoes in the water. Stays shallow for a good distance so was perfect for my 2 1/2 year old. Very large beach and …"
Wasaga Beach Provincial Park,majorlifts,5,"Awesome, the venue was fun, tons of parking and all the little stores and stops were interesting and inviting."
Wasaga Beach Provincial Park,SCOTT WILLIAMSON,4,nice long beach if willing to walk along a bit you will find a spot not too crowded. going during the week day it is less busy nice shallow water is great for young kids lots of space people are not bumping into each other. parking is expensive as is the food.
Wasaga Beach Provincial Park,Enzo Ferrarii,5,Lots of beautiful nature cant go wrong. Canada dayyyy is a bless there
Wasaga Beach Provincial Park,Jose Henriquez,5,"Best beach in Ontario, sandy white beach. No rocks, perfect for kids. You can walk and walk and still the water won’t cover then for a while. Beach 1 and 2 are the more popular ones. Parking is 15$ a day."
Wasaga Beach Provincial Park,Kim Sam,4,"Beach 6 was very enjoyable, the water stays shallow a good way out, great for kids. Beach 1 had a few shops and a very hot Tim Horton's. $5 all day parking was pretty nice. Would recommend for a nice day trip or weekend beach getaway with friends or family."
Wasaga Beach Provincial Park,I Zu,5,Excellent beach. Great times !! Tourists' attractions have grown making it amazing to spend more than a weekend getaway
Wasaga Beach Provincial Park,Sarah Hammond,5,"Canada Day 2018. 
Absolutely stunning beautiful place. 
Unbelievably busy but what do you expect on a 40+ degree weather on a long weekend.
Many beach areas, ( 6 I think) some areas just sand sun and water  Beach area 1 is packed with …"
Wasaga Beach Provincial Park,Neil Mavin,5,"Always loved Wasaga growing up. Good place to bring your motor boat. Good fishing along the river. Too many crowds these days, but if you get a quiet area. It's a perfect place to go."
Wasaga Beach Provincial Park,tina,4,"If you have a dog, then this is the beach for you. Beach area 3 has a section for people that has dogs. The dogs must be on the leash at all times and you have to be in between 2 posts. It can get packed pretty quickly. The people are a …"
Wasaga Beach Provincial Park,pappa p,4,"Great place for a family beach day. You don't need to bring much and the water is awesome for young ones. Very shallow for a long way out. There is plenty of very cheap parking if you go across the street, don't bother with the central …"
Wasaga Beach Provincial Park,Nenad Markovic,5,"It’s a nice place. Probably best area for swimming in Wasaga. 
Boat launch is there on the River side. Very wide. 
Huge parking area."
Wasaga Beach Provincial Park,Dhiraj D'Souza,5,We go three to four times in summer to Wasaga Beach. We head straight to Beach Area 1 which is more family oriented and sandwiched between the river and the beach. Plenty of washrooms and parking make this place a hit.
Wasaga Beach Provincial Park,elaine power,5,"Loved it in October the bathrooms were open but nothing else except LCBO and one or 2 stores open. Lay on beach for hours. Unfortunately the sand fleas were bad,need to spray the beach so many little kids there."
Wasaga Beach Provincial Park,Taylor,2,"Very busy beach and very crowded. There was barely any room to sit on the beach or swim in the water. The water was full of seaweed and other gunk that you have to wade through. Lots of cool attractions though, there was a ferris wheel, …"
Wasaga Beach Provincial Park,J Lym,4,Had great day here with family and friends. Didn't want to leave. I think we were on beach 2.
Wasaga Beach Provincial Park,Lauren Bennett,5,Loved the beach! The water was a bit cold at first but you get used to it after a few minutes. The waves were relatively calm and the beach clean. I would love to go again!
Wasaga Beach Provincial Park,Samantha Trinh,4,"Parking was atrocious. The amount of cars to the parking spaces are heavily disproportionate. Even the lots were full. 

When I went there, the place was jam packed. Perhaps I went midday and by then so many folks had taken up the places …"
Wasaga Beach Provincial Park,Rameez Malik,4,"Good place to spend holidays with your family, lots of attractions and clean water beach"
Wasaga Beach Provincial Park,Craig Kitchener,5,Great for Salmon then Rainbow Trout fishing
Wasaga Beach Provincial Park,Kerri Blais,5,Great place for family or any age group. Friendly staff. Very clean. Nice shops and the food was great too!
Wasaga Beach Provincial Park,Savannah Fjarlie,4,Beach 1 is always so  crowded but other than that im impressed.  Not much garbage. Well looked after. You have to pay for parking coins or credit only
Wasaga Beach Provincial Park,Neil Zeidenberg,3,"Nice place to visit. Just not on a long weekend. Took an hour to find a place to park. People block the view of the water with their huge tents and umbrellas. In the water, people bring their big floats and walk backwards into other people. How rude!"
Wasaga Beach Provincial Park,Dennis Kuzmenko,5,Great place to spend a summer weekend.
Wasaga Beach Provincial Park,Michael Elzinga,5,A great place to spend a summer day. I suggest parking in one of the local lots as they most charge $5 for parking rather than $20 at the parks lot.
Wasaga Beach Provincial Park,Shiva Teja,5,"Best beach in Ontario. Feels like Miami Beach’s. Don’t have alcohol on beach side, it’s against law. Police caught me, I was lucky that they gave just warning."
Wasaga Beach Provincial Park,Sean Ireland,4,We had a great time on the beach and the atmosphere was amazing.  The down fall was the rent a cop smelling people's drinks.  I think that was a little much.  We had a great time.
Wasaga Beach Provincial Park,Stewart Turriff,3,"Went for an afternoon,  it was okay.  Please note there is two parks and beach access.  Go early for large families since picnic tables are limited, if you are looking for shade"
Wasaga Beach Provincial Park,Andrei Skavinski,4,Good place to spend a day. Could be crowded in season weekends.
Wasaga Beach Provincial Park,Scott Telfer,4,Beautiful beach and a perfect day...i just hope there could be more municipal employees keeping an eye on litterbugs
Wasaga Beach Provincial Park,Michele Robinson,5,The dog park beach is awesome! Thank you for allowing us to bring our dogs to beach 3!!!
Wasaga Beach Provincial Park,Elaine Bedard,5,Great beaches.  Clean and well maintained.  Public washrooms are nearby and clean
Wasaga Beach Provincial Park,Jim Watson,5,"Ok I am a bit biased here, the town of Wasaga invites me and several of my friends to kite fly for the July 1 weekend. So there is always lots going on and the beaches are full. There seems to be a good draw to the beach and supporting stores."
