name,user,stars,review
Windy Lake Provincial Park,Hannah Sine,5,Awesome day on the trails today.
Windy Lake Provincial Park,Jeffery Cholette,5,My weekend hideout!   Staff is awesome. Beach is rough on the feet but kids dont care and plenty of space.  Love it!!
Windy Lake Provincial Park,Joshua Henderson,4,"Great experience nice, friendly campers no excessive noise only downside is the train tracks right beside the park"
Windy Lake Provincial Park,Pamela Patry,5,A favourite park.  But the beach is so far fro. Campground.... need to drive to beach.  Also hope you like trains at night.
Windy Lake Provincial Park,Adele Gollop,5,Rented the cabin and it was lovely! Beautiful inside and the view of the lake is awesome! Perfect for a holiday!
Windy Lake Provincial Park,Sandeep Kainth,3,"Great place, but Trains in the night ruin all the  fun. Expect 2-3 trains every night. They come, they honk, they leave. They come, they honk they leave."
Windy Lake Provincial Park,Cari Thompson,5,Love it here.  Clean facilities and the water is crystal clean.
Windy Lake Provincial Park,Yvon Ipperciel,4,Beautiful provincial park. Great Scenic views of the Windy Lake area. Bears are amongst the wildlife so don't leave food out or unsealed.
Windy Lake Provincial Park,Ian Ridsdill,5,Had a nice swim. Admission came with a free air show.
Windy Lake Provincial Park,Angel Spanish,5,Great place family friendly. Made great family memories here.
Windy Lake Provincial Park,Agnes Krawczyk,5,Great skiing
Windy Lake Provincial Park,Kevin Muir,2,"We were looking for that Northern Ontario feeling and we found it. The lake is wonderful, the sites are good, washrooms and facilities typical of Provincial Parks. All of that takes a back seat however when you are yelling at each other ..."
Windy Lake Provincial Park,Tim Paquin,5,Beautiful beach on a hot day.
Windy Lake Provincial Park,Ken Bellaire,5,This is a beautiful place to have a picnic!
Windy Lake Provincial Park,Srinivasa Krishnamurthy,5,Excellent place for family fun
Windy Lake Provincial Park,Chuck Miller,1,Warm cozy chalet to return to after a couple great skis at Onaping Falls Nordic!
Windy Lake Provincial Park,Mr NADMAN,5,beautiful park
Windy Lake Provincial Park,Carla Kingsley,3,"Campground itself is nice and lots are big, but you can't walk to the beaches, which is super lame."
Windy Lake Provincial Park,Josee Soucy,4,Nice park. Nice staff.
